date,open,high,low,close,vwap,vol
1737158400,1.0257,1.0257,1.0257,1.0257,0.0000,0.00000
1737172800,1.0257,1.0257,1.0257,1.0257,0.0000,0.00000
1737187200,1.0253,1.0295,1.0253,1.0295,1.0294,46.02330
1737201600,1.0288,1.0288,1.0273,1.0273,1.0281,18.00366
1737216000,1.0301,1.0304,1.0301,1.0304,1.0303,32.26880
1737230400,1.0265,1.0310,1.0264,1.0299,1.0306,1101.37257
1737244800,1.0278,1.0278,1.0278,1.0278,1.0278,32.62950
1737259200,1.0276,1.0307,1.0274,1.0307,1.0290,1023.41595
1737273600,1.0270,1.0270,1.0267,1.0267,1.0268,82.59878
1737288000,1.0265,1.0265,1.0227,1.0227,1.0230,1812.34012
1737302400,1.0232,1.0270,1.0231,1.0270,1.0248,244.15350
1737316800,1.0229,1.0230,1.0228,1.0230,1.0228,248.17411
1737331200,1.0288,1.0294,1.0288,1.0294,1.0290,43.34728
1737345600,1.0301,1.0302,1.0301,1.0302,1.0301,20.99725
1737360000,1.0303,1.0323,1.0280,1.0288,1.0311,679.56369
1737374400,1.0326,1.0405,1.0326,1.0405,1.0373,1365.87253
1737388800,1.0358,1.0358,1.0358,1.0358,1.0358,31.53566
1737403200,1.0411,1.0411,1.0411,1.0411,1.0411,35.25118
1737417600,1.0365,1.0365,1.0349,1.0349,1.0362,200.18090
1737432000,1.0348,1.0348,1.0343,1.0343,1.0344,369.95216
1737446400,1.0370,1.0370,1.0370,1.0370,1.0370,69.62017
1737460800,1.0368,1.0368,1.0368,1.0368,1.0368,5.64900
1737475200,1.0409,1.0409,1.0409,1.0409,1.0409,35.25795
1737489600,1.0408,1.0419,1.0408,1.0419,1.0409,307.79864
1737504000,1.0419,1.0419,1.0419,1.0419,0.0000,0.00000
1737518400,1.0418,1.0418,1.0418,1.0418,1.0418,8.63890
1737532800,1.0418,1.0418,1.0418,1.0418,0.0000,0.00000
1737547200,1.0418,1.0418,1.0418,1.0418,0.0000,0.00000
1737561600,1.0419,1.0419,1.0419,1.0419,1.0419,35.22411
1737576000,1.0419,1.0419,1.0419,1.0419,0.0000,0.00000
1737590400,1.0366,1.0406,1.0365,1.0406,1.0369,465.67828
1737604800,1.0368,1.0369,1.0347,1.0354,1.0354,5453.20083
1737619200,1.0357,1.0647,1.0357,1.0364,1.0535,3731.57497
1737633600,1.0358,1.0358,1.0358,1.0358,1.0358,11.30674
1737648000,1.0358,1.0358,1.0358,1.0358,0.0000,0.00000
1737662400,1.0458,1.0619,1.0392,1.0392,1.0593,1625.36488
1737676800,1.0392,1.0418,1.0357,1.0418,1.0360,1446.58325
1737691200,1.0418,1.0418,1.0385,1.0385,1.0389,109.22513
1737705600,1.0463,1.0463,1.0463,1.0463,1.0463,146.11059
1737720000,1.0459,1.0466,1.0459,1.0466,1.0462,88.34857
1737734400,1.0473,1.0508,1.0456,1.0508,1.0464,3393.50969
1737748800,1.0508,1.0508,1.0508,1.0508,0.0000,0.00000
1737763200,1.0519,1.0519,1.0519,1.0519,1.0519,446.98703
1737777600,1.0519,1.0519,1.0519,1.0519,0.0000,0.00000
1737792000,1.0517,1.0540,1.0438,1.0540,1.0500,175.13262
1737806400,1.0449,1.0449,1.0449,1.0449,1.0449,30.00000
1737820800,1.0449,1.0449,1.0449,1.0449,0.0000,0.00000
1737835200,1.0449,1.0449,1.0449,1.0449,0.0000,0.00000
1737849600,1.0449,1.0449,1.0449,1.0449,0.0000,0.00000
1737864000,1.0449,1.0449,1.0449,1.0449,0.0000,0.00000
1737878400,1.0446,1.1095,1.0446,1.0459,1.0692,65339.97261
1737892800,1.0469,1.0469,1.0469,1.0469,1.0469,116.46790
1737907200,1.0466,1.0470,1.0452,1.0452,1.0462,52.78000
1737921600,1.0525,1.0571,1.0438,1.0488,1.0498,1023.62060
1737936000,1.0488,1.0488,1.0488,1.0488,0.0000,0.00000
1737950400,1.0488,1.0488,1.0488,1.0488,0.0000,0.00000
1737964800,1.0488,1.0488,1.0488,1.0488,0.0000,0.00000
1737979200,1.0503,1.0525,1.0503,1.0505,1.0510,25.00000
1737993600,1.0502,1.0502,1.0444,1.0444,1.0483,115.18384
1738008000,1.0512,1.0517,1.0512,1.0517,1.0512,10.00000
1738022400,1.0410,1.0410,1.0405,1.0405,1.0407,10.00000
1738036800,1.0450,1.0471,1.0450,1.0465,1.0454,493.29284
1738051200,1.0465,1.0465,1.0465,1.0465,0.0000,0.00000
1738065600,1.0973,1.0991,1.0381,1.0468,1.0952,1445.14798
1738080000,1.0468,1.0468,1.0468,1.0468,0.0000,0.00000
1738094400,1.0388,1.0388,1.0388,1.0388,1.0388,29.47907
1738108800,1.0388,1.0388,1.0388,1.0388,0.0000,0.00000
1738123200,1.0507,1.0507,1.0507,1.0507,1.0507,5.00000
1738137600,1.0464,1.0512,1.0390,1.0391,1.0476,2915.36844
1738152000,1.0394,1.0394,1.0394,1.0394,1.0394,9.85220
1738166400,1.0382,1.0449,1.0365,1.0449,1.0409,849.04046
1738180800,1.0384,1.0384,1.0371,1.0371,1.0375,15.00000
1738195200,1.0372,1.0372,1.0372,1.0372,1.0372,95.00000
1738209600,1.0372,1.0372,1.0372,1.0372,0.0000,0.00000
1738224000,1.0435,1.0435,1.0371,1.0371,1.0398,1223.71921
1738238400,1.0375,1.0375,1.0374,1.0374,1.0374,142.30750
1738252800,1.0439,1.0492,1.0439,1.0492,1.0450,4238.44785
1738267200,1.0445,1.0492,1.0439,1.0439,1.0464,308.68203
1738281600,1.0439,1.0439,1.0439,1.0439,0.0000,0.00000
1738296000,1.0439,1.0439,1.0439,1.0439,0.0000,0.00000
1738310400,1.0370,1.0455,1.0370,1.0455,1.0437,106.11380
1738324800,1.0370,1.0370,1.0370,1.0370,1.0370,10.00000
1738339200,1.0376,1.0376,1.0352,1.0352,1.0367,2441.75634
1738353600,1.0352,1.0352,1.0332,1.0348,1.0346,39.84456
1738368000,1.0332,1.0401,1.0312,1.0401,1.0362,104.20888
1738382400,1.0401,1.0401,1.0401,1.0401,0.0000,0.00000
1738396800,1.0311,1.0311,1.0302,1.0302,1.0309,4942.92571
1738411200,1.0408,1.0408,1.0304,1.0304,1.0343,1076.46039
1738425600,1.0305,1.0305,1.0304,1.0304,1.0304,387.80723
1738440000,1.0301,1.0301,1.0291,1.0291,1.0291,55.38770
1738454400,1.0291,1.0327,1.0291,1.0327,1.0303,63.61654
1738468800,1.0291,1.0291,1.0290,1.0290,1.0290,1244.11982
1738483200,1.0351,1.0395,1.0351,1.0395,1.0376,2800.49992
1738497600,1.0280,1.0291,1.0280,1.0291,1.0283,747.21930
1738512000,1.0283,1.0283,1.0283,1.0283,1.0283,581.24529
1738526400,1.0256,1.0257,0.9923,1.0254,1.0205,3428.29432
1738540800,1.0197,1.0261,1.0139,1.0194,1.0205,1213.11492
1738555200,1.0217,1.0257,1.0115,1.0115,1.0150,40505.29816
1738569600,1.0211,1.0282,1.0091,1.0169,1.0203,2328.30667
1738584000,1.0264,1.0317,1.0176,1.0215,1.0258,1540.66926
1738598400,1.0230,1.0322,0.9904,1.0213,1.0237,2369.06818
1738612800,1.0291,1.0447,1.0187,1.0262,1.0288,1895.09286
1738627200,1.0348,1.0348,1.0348,1.0348,1.0348,10.00000
1738641600,1.0348,1.0348,1.0348,1.0348,0.0000,0.00000
1738656000,1.0360,1.0371,1.0360,1.0371,1.0368,110.45127
1738670400,1.0296,1.0370,1.0260,1.0356,1.0336,344.17535
1738684800,1.0296,1.0371,1.0289,1.0304,1.0322,485.00000
1738699200,1.0371,1.0372,1.0327,1.0327,1.0366,1261.26156
1738713600,1.0327,1.0327,1.0327,1.0327,0.0000,0.00000
1738728000,1.0306,1.0379,1.0305,1.0379,1.0331,760.64000
1738742400,1.0379,1.0379,1.0341,1.0379,1.0364,260.05246
1738756800,1.0356,1.0370,1.0334,1.0365,1.0369,10828.15815
1738771200,1.0441,1.0441,1.0366,1.0406,1.0422,355.00000
1738785600,1.0346,1.0433,1.0266,1.0422,1.0373,2957.44785
1738800000,1.0331,1.0331,1.0330,1.0330,1.0330,225.93000
1738814400,1.0323,1.0395,1.0323,1.0395,1.0357,580.80145
1738828800,1.0298,1.0377,1.0298,1.0306,1.0322,617.79820
1738843200,1.0295,1.0378,1.0287,1.0374,1.0329,2755.07868
1738857600,1.0306,1.0372,1.0306,1.0372,1.0339,270.00000
1738872000,1.0374,1.0374,1.0303,1.0317,1.0323,1642.77553
1738886400,1.0403,1.0403,1.0206,1.0220,1.0238,1691.69068
1738900800,1.0225,1.0326,1.0204,1.0209,1.0226,1809.57010
1738915200,1.0024,1.0345,1.0024,1.0345,1.0251,77.54266
1738929600,1.0362,1.0362,0.9924,1.0358,1.0244,632.25985
1738944000,1.0345,1.0433,1.0134,1.0200,1.0273,1355.55350
1738958400,1.0170,1.0270,1.0058,1.0147,1.0172,400.05448
1738972800,1.0082,1.0286,1.0082,1.0283,1.0184,1521.73523
1738987200,1.0167,1.0250,1.0165,1.0165,1.0200,333.17644
1739001600,1.0172,1.0210,1.0165,1.0208,1.0171,554.88259
1739016000,1.0054,1.0054,1.0054,1.0054,1.0054,5.00000
