date,open,high,low,close,vwap,vol
1737158400,0.9996,1.0002,0.9994,1.0001,0.9998,1355110.47889954
1737172800,1.0001,1.0005,1.0000,1.0004,1.0002,3752714.11075851
1737187200,1.0004,1.0006,1.0002,1.0005,1.0003,2402072.47808420
1737201600,1.0004,1.0007,1.0002,1.0005,1.0004,2792507.66010005
1737216000,1.0006,1.0010,1.0005,1.0009,1.0007,5277228.75806804
1737230400,1.0008,1.0014,1.0008,1.0011,1.0010,4107435.03078117
1737244800,1.0011,1.0012,1.0008,1.0012,1.0009,3177886.89338174
1737259200,1.0011,1.0018,1.0009,1.0017,1.0011,3397524.56378073
1737273600,1.0017,1.0057,1.0011,1.0017,1.0017,10391226.24271327
1737288000,1.0016,1.0023,1.0012,1.0015,1.0015,7696007.32325552
1737302400,1.0015,1.0016,1.0010,1.0011,1.0011,5925359.79514846
1737316800,1.0011,1.0117,1.0008,1.0014,1.0017,11836275.48719143
1737331200,1.0014,1.0059,1.0009,1.0010,1.0013,7394603.86101400
1737345600,1.0010,1.0019,1.0009,1.0015,1.0012,11794849.10145484
1737360000,1.0014,1.0016,1.0008,1.0012,1.0011,18540097.67886226
1737374400,1.0012,1.0024,1.0009,1.0010,1.0011,16420684.08128916
1737388800,1.0011,1.0015,1.0007,1.0012,1.0011,10456918.58418045
1737403200,1.0010,1.0014,1.0009,1.0011,1.0010,4996610.54972526
1737417600,1.0011,1.0015,1.0010,1.0012,1.0012,2976433.92577651
1737432000,1.0012,1.0014,1.0010,1.0012,1.0012,7491280.82625906
1737446400,1.0013,1.0013,1.0008,1.0009,1.0010,13527789.16851274
1737460800,1.0010,1.0012,1.0007,1.0009,1.0009,13210292.86727589
1737475200,1.0009,1.0010,0.9998,1.0000,1.0002,14173419.95158969
1737489600,0.9999,1.0001,0.9996,0.9999,0.9999,3719028.91283236
1737504000,0.9998,1.0002,0.9998,1.0000,0.9999,620158.26909892
1737518400,1.0000,1.0002,0.9999,1.0001,1.0000,7607310.75973565
1737532800,1.0001,1.0005,1.0000,1.0002,1.0000,8428545.01690824
1737547200,1.0002,1.0003,0.9996,1.0000,1.0000,5361857.16260310
1737561600,1.0001,1.0004,1.0000,1.0002,1.0001,3746065.03310448
1737576000,1.0003,1.0005,1.0001,1.0005,1.0003,1335726.11503310
1737590400,1.0004,1.0008,1.0003,1.0006,1.0005,2260704.70744781
1737604800,1.0007,1.0008,1.0004,1.0005,1.0005,7920749.28304020
1737619200,1.0004,1.0007,1.0003,1.0004,1.0004,10870371.68278842
1737633600,1.0003,1.0007,0.9999,0.9999,1.0002,8128309.33978150
1737648000,1.0000,1.0000,0.9992,0.9997,0.9997,6263323.17620597
1737662400,0.9997,1.0000,0.9994,0.9999,0.9997,2889591.36518381
1737676800,0.9998,1.0002,0.9997,1.0001,1.0000,1986542.79515639
1737691200,1.0002,1.0003,1.0000,1.0001,1.0000,6535414.59381372
1737705600,1.0000,1.0001,0.9997,0.9999,0.9999,12063011.61301469
1737720000,0.9999,1.0002,0.9997,0.9999,0.9998,10852695.23159487
1737734400,0.9999,0.9999,0.9995,0.9997,0.9997,1187151.62429154
1737748800,0.9997,1.0001,0.9996,1.0000,0.9998,2896914.73082449
1737763200,1.0001,1.0002,0.9999,1.0001,1.0000,414815.07022309
1737777600,1.0002,1.0002,1.0000,1.0002,1.0001,208454.97778192
1737792000,1.0001,1.0002,1.0000,1.0002,1.0001,306404.57575823
1737806400,1.0001,1.0003,1.0001,1.0002,1.0002,1262176.52187981
1737820800,1.0002,1.0005,1.0000,1.0001,1.0001,776812.14059248
1737835200,1.0001,1.0003,1.0000,1.0000,1.0002,958772.11488168
1737849600,1.0001,1.0003,1.0001,1.0001,1.0001,889463.22392492
1737864000,1.0002,1.0003,1.0001,1.0002,1.0001,258693.88953303
1737878400,1.0002,1.0004,1.0000,1.0001,1.0001,1043910.71837573
1737892800,1.0001,1.0002,1.0000,1.0001,1.0001,526347.55158243
1737907200,1.0001,1.0002,1.0000,1.0001,1.0001,208921.23462324
1737921600,1.0002,1.0004,1.0000,1.0004,1.0001,1480318.42942844
1737936000,1.0004,1.0007,1.0002,1.0004,1.0005,4751500.11806619
1737950400,1.0004,1.0008,1.0003,1.0004,1.0004,20641820.78296243
1737964800,1.0003,1.0006,1.0003,1.0004,1.0004,15746958.76901979
1737979200,1.0004,1.0006,0.9996,0.9999,1.0001,12587559.37184114
1737993600,0.9999,1.0006,0.9999,1.0005,1.0002,6203897.51076545
1738008000,1.0005,1.0006,1.0000,1.0001,1.0003,5181373.28719779
1738022400,1.0001,1.0003,0.9999,1.0001,1.0000,1346694.66106503
1738036800,1.0001,1.0001,0.9998,0.9999,0.9999,2540395.90951742
1738051200,0.9999,1.0001,0.9997,1.0000,0.9999,10017172.93002323
1738065600,1.0000,1.0002,0.9999,1.0000,1.0000,6012537.59804354
1738080000,1.0000,1.0003,0.9999,1.0002,1.0000,2344637.30865585
1738094400,1.0002,1.0007,1.0002,1.0006,1.0004,2061186.29371510
1738108800,1.0006,1.0006,1.0003,1.0003,1.0005,1178858.00020842
1738123200,1.0003,1.0004,1.0002,1.0003,1.0002,4729909.88442136
1738137600,1.0003,1.0006,1.0002,1.0005,1.0003,5066539.90255045
1738152000,1.0004,1.0005,1.0002,1.0003,1.0003,2582206.45019780
1738166400,1.0003,1.0005,0.9996,1.0001,1.0002,3587252.67501606
1738180800,1.0001,1.0002,0.9999,1.0000,1.0000,6542438.55575468
1738195200,1.0000,1.0001,0.9999,1.0000,1.0000,3070180.94054997
1738209600,1.0000,1.0001,0.9999,1.0000,0.9999,3907741.07030078
1738224000,1.0000,1.0002,0.9999,1.0001,1.0000,7665981.56510943
1738238400,1.0001,1.0002,0.9998,0.9999,1.0000,10413920.45660078
1738252800,0.9999,1.0001,0.9997,0.9999,0.9999,3120897.25002679
1738267200,0.9999,1.0000,0.9996,0.9999,0.9998,2582111.12197851
1738281600,0.9999,1.0001,0.9997,1.0000,0.9999,1407223.50502717
1738296000,1.0001,1.0001,0.9999,1.0000,1.0000,4694079.75724689
1738310400,1.0001,1.0002,0.9999,1.0000,1.0000,8174913.53415479
1738324800,1.0000,1.0001,0.9997,0.9999,0.9999,6104788.78506771
1738339200,0.9998,1.0005,0.9997,1.0005,1.0000,8358024.42913452
1738353600,1.0005,1.0006,1.0001,1.0003,1.0003,4242127.00941179
1738368000,1.0003,1.0004,1.0001,1.0002,1.0002,780580.61011236
1738382400,1.0001,1.0002,1.0001,1.0001,1.0001,2345886.37503593
1738396800,1.0001,1.0004,1.0001,1.0003,1.0002,1943988.74882570
1738411200,1.0004,1.0004,1.0000,1.0000,1.0002,2165271.12081037
1738425600,1.0001,1.0002,1.0000,1.0001,1.0001,2705486.90904233
1738440000,1.0001,1.0008,1.0000,1.0001,1.0003,3911815.73748198
1738454400,1.0001,1.0004,1.0000,1.0003,1.0000,2251331.75983176
1738468800,1.0002,1.0004,1.0000,1.0002,1.0001,5984347.77095501
1738483200,1.0002,1.0006,1.0001,1.0005,1.0002,4114551.69136708
1738497600,1.0005,1.0005,1.0002,1.0004,1.0003,8570231.76432726
1738512000,1.0003,1.0009,1.0001,1.0003,1.0003,12790985.91311098
1738526400,1.0004,1.0004,0.9999,1.0003,1.0001,9607933.06843828
1738540800,1.0002,1.0020,0.9991,0.9994,0.9999,12199705.06356448
1738555200,0.9993,0.9996,0.9990,0.9992,0.9992,7220325.72511454
1738569600,0.9992,0.9996,0.9988,0.9995,0.9992,17615650.69241962
1738584000,0.9995,1.0095,0.9980,0.9981,0.9993,17569632.19270488
1738598400,0.9982,0.9988,0.9979,0.9983,0.9983,11569561.28201455
1738612800,0.9982,0.9994,0.9979,0.9989,0.9987,6991494.41430900
1738627200,0.9989,0.9993,0.9987,0.9992,0.9990,1875959.97049373
1738641600,0.9992,0.9996,0.9955,0.9992,0.9990,13105793.14193630
1738656000,0.9992,0.9994,0.9970,0.9992,0.9991,13485861.74672154
1738670400,0.9992,0.9996,0.9982,0.9993,0.9991,12576365.79452286
1738684800,0.9993,0.9996,0.9991,0.9993,0.9993,4925637.71272290
1738699200,0.9994,0.9999,0.9994,0.9997,0.9996,2019618.17910801
1738713600,0.9997,0.9998,0.9995,0.9997,0.9996,1460295.99899816
1738728000,0.9997,0.9998,0.9994,0.9996,0.9996,8360929.35161358
1738742400,0.9996,1.0000,0.9994,0.9996,0.9995,10908837.62469725
1738756800,0.9996,0.9999,0.9995,0.9997,0.9996,10928175.92867672
1738771200,0.9997,1.0000,0.9996,0.9998,0.9998,4075731.87365695
1738785600,0.9998,1.0000,0.9997,0.9999,0.9998,3107471.39141238
